Fecha,Promedio
01/2015,27.5383870967742
01/2016,27.3935483870968
01/2017,26.3138709677419
01/2018,26.7207142857143
01/2019,27.2906451612903
02/2015,27.76
02/2016,28.0727586206897
02/2017,27.1471428571429
02/2018,27.3715384615385
02/2019,27.9707142857143
03/2015,28.3545161290323
03/2016,29.381935483871
03/2017,28.2606451612903
03/2018,28.2130434782609
03/2019,28.5296774193548
04/2015,29.263
04/2016,29.697
04/2017,28.9076666666667
04/2018,28.5339130434783
05/2015,29.3896774193548
05/2016,28.4393548387097
05/2017,26.6470967741935
05/2018,26.6719230769231
06/2015,28.359
06/2016,26.5543333333333
06/2017,26.297
06/2018,26.5746666666667
07/2015,28.4367741935484
07/2016,27.2154838709677
07/2017,26.5709677419355
07/2018,27.2203225806452
08/2015,29.2012903225806
08/2016,27.0467741935484
08/2017,26.5041935483871
08/2018,27.2732258064516
09/2015,27.6113333333333
09/2016,26.195
09/2017,25.8023333333333
09/2018,26.274
10/2015,26.7867741935484
10/2016,25.8574193548387
10/2017,25.6167741935484
10/2018,25.3509677419355
11/2015,26.6873333333333
11/2016,25.4993333333333
11/2017,25.928
11/2018,26.7666666666667
12/2015,27.8470967741935
12/2016,26.0248387096774
12/2017,26.3238709677419
12/2018,26.74
