Fecha,Promedio
01/2015,6.1341935483871
01/2016,6.20709677419355
01/2017,1.93548387096774
01/2018,7.87607142857143
01/2019,8.69096774193548
02/2015,5.14714285714286
02/2016,9.10310344827586
02/2017,0.242857142857143
02/2018,10.0557692307692
02/2019,7.65571428571429
03/2015,8.67548387096774
03/2016,5.98483870967742
03/2017,4.96322580645161
03/2018,9.01565217391304
03/2019,8.84870967741936
04/2015,7.22166666666667
04/2016,5.222
04/2017,5.306
04/2018,5.42652173913043
05/2015,6.74838709677419
05/2016,2.78161290322581
05/2017,1.2141935483871
05/2018,0.857307692307692
06/2015,5.69066666666667
06/2016,1.864
06/2017,1.19666666666667
06/2018,2.09933333333333
07/2015,6.50064516129032
07/2016,3.43935483870968
07/2017,2.42129032258065
07/2018,4.49677419354839
08/2015,5.97225806451613
08/2016,2.21935483870968
08/2017,1.42677419354839
08/2018,3.49548387096774
09/2015,2.27333333333333
09/2016,0.916
09/2017,0.741666666666667
09/2018,1.21566666666667
10/2015,1.17258064516129
10/2016,0.191612903225806
10/2017,1.15064516129032
10/2018,1.6241935483871
11/2015,1.85233333333333
11/2016,0.213
11/2017,1.812
11/2018,3.47533333333333
12/2015,5.7658064516129
12/2016,0.993548387096774
12/2017,5.47193548387097
12/2018,6.14612903225806
